date,revenue
2020-01-01,1015.2358539877216
2020-01-02,1026.6839429347783
2020-01-03,1136.0153510085054
2020-01-04,1091.9166097313166
2020-01-05,861.0598666555524
2020-01-06,839.8982334387017
2020-01-07,931.2088719115613
2020-01-08,987.6878703828208
2020-01-09,1081.3430903715887
2020-01-10,1059.3405948395034
2020-01-11,1092.3582726548973
2020-01-12,1001.0012228596918
2020-01-13,911.8087436598785
2020-01-14,984.6789121015987
2020-01-15,1030.3754671126023
2020-01-16,1042.718525102641
2020-01-17,1123.9303304223074
2020-01-18,1003.9442438703057
2020-01-19,1009.534141153608
2020-01-20,909.510913232505
2020-01-21,922.5737335759339
2020-01-22,976.4535227798028
2020-01-23,1150.3102151805044
2020-01-24,1101.2663171147424
2020-01-25,1033.9719828036007
2020-01-26,951.5049485638328
2020-01-27,942.122668059485
2020-01-28,953.5890549714009
2020-01-29,1034.6366305797992
2020-01-30,1114.224198397197
2020-01-31,1219.5751712617055
2020-02-01,1038.567623092525
2020-02-02,946.9994896346674
2020-02-03,878.3185723694238
2020-02-04,969.615822881972
2020-02-05,1073.9486146360446
2020-02-06,1090.485775364059
2020-02-07,1073.984967370056
2020-02-08,1021.164313127194
2020-02-09,1008.6412654794793
2020-02-10,959.6699173419897
2020-02-11,969.4745651684567
2020-02-12,987.7245146355651
2020-02-13,1111.2912144001389
2020-02-14,1125.3270816752188
2020-02-15,1076.8228037482065
2020-02-16,1023.1830649856538
2020-02-17,937.1869862205518
2020-02-18,979.7625299067917
2020-02-19,1027.8789534744444
2020-02-20,1117.6391181813021
2020-02-21,1154.5572025101094
2020-02-22,996.530582918972
2020-02-23,967.1280652703794
2020-02-24,905.9885760671779
2020-02-25,917.3729593410299
2020-02-26,1014.2428874386655
2020-02-27,1181.4302138085227
2020-02-28,1083.2012354335202
2020-02-29,1121.30229164133
2020-03-01,902.4681375074547
2020-03-02,916.2629572825289
2020-03-03,960.9545050084472
2020-03-04,1060.8111165679636
2020-03-05,1145.7444772364456
2020-03-06,1169.6601529781788
2020-03-07,1058.952120299334
2020-03-08,966.994036455016
